layer,sparsity_pct,top1,top1_drop
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Conv2d,0,54.18,0.0
Conv2d,10,54.2,-0.020000000000003126
Conv2d,20,54.27,-0.09000000000000341
Conv2d,50,53.05,1.1300000000000026
Conv2d,70,49.18,5.0
Conv2d,80,46.24,7.939999999999998
Conv2d,90,32.2,21.979999999999997
Linear,0,54.18,0.0
Linear,10,54.18,0.0
Linear,20,54.18,0.0
Linear,50,54.19,-0.00999999999999801
Linear,70,54.28,-0.10000000000000142
Linear,80,54.21,-0.030000000000001137
Linear,90,54.07,0.10999999999999943
Linear,0,54.18,0.0
Linear,10,54.18,0.0
Linear,20,54.18,0.0
Linear,50,54.19,-0.00999999999999801
Linear,70,54.28,-0.10000000000000142
Linear,80,54.21,-0.030000000000001137
Linear,90,54.07,0.10999999999999943
Linear,0,54.18,0.0
Linear,10,54.18,0.0
Linear,20,54.18,0.0
Linear,50,54.19,-0.00999999999999801
Linear,70,54.28,-0.10000000000000142
Linear,80,54.21,-0.030000000000001137
Linear,90,54.07,0.10999999999999943
